Date,Confirm
1/1/21,10325823
1/2/21,10323965
1/3/21,10340469
1/4/21,10356844
1/5/21,10374932
1/6/21,10395278
1/7/21,10413417
1/8/21,10413417
1/9/21,10450284
1/10/21,10466595
1/11/21,10479179
1/12/21,10495147
1/13/21,10512093
1/14/21,10527683
1/15/21,10542841
1/16/21,10557985
1/17/21,10571773
1/18/21,10581823
1/19/21,10595639
1/20/21,10610883
1/21/21,10625428
1/22/21,10639684
1/23/21,10654533
1/24/21,10667736
1/25/21,10676838
1/26/21,10689527
1/27/21,10701193
1/28/21,10720048
1/29/21,10733130
1/30/21,10746174
1/31/21,10757610
2/1/21,10766245
2/2/21,10777284
2/3/21,10790183
2/4/21,10802591
2/5/21,10814304
2/6/21,10826363
2/7/21,10838194
2/8/21,10847304
2/9/21,10858371
2/10/21,10871294
2/11/21,10880603
2/12/21,10892746
2/13/21,10904940
2/14/21,10916589
2/15/21,10925710
2/16/21,10937320
2/17/21,10950201
2/18/21,10963394
2/19/21,10977387
2/20/21,10991651
2/21/21,11005850
2/22/21,11016434
2/23/21,11030176
2/24/21,11046914
2/25/21,11063491
2/26/21,11079979
2/27/21,11096731
2/28/21,11112241
3/1/21,11124527
3/2/21,11139516
3/3/21,11156923
3/4/21,11173761
3/5/21,11192045
3/6/21,11210799
3/7/21,11229398
3/8/21,11244786
3/9/21,11262707
3/10/21,11285561
3/11/21,11308846
3/12/21,11333728
3/13/21,11359048
3/14/21,11385339
3/15/21,11409831
3/16/21,11438734
3/17/21,11474605
3/18/21,11514331
3/19/21,11555284
3/20/21,11599130
3/21/21,11646081
3/22/21,11686796
3/23/21,11734058
3/24/21,11787534
3/25/21,11846652
3/26/21,11908910
3/27/21,11971624
3/28/21,12039644
3/29/21,12095855
3/30/21,12149335
3/31/21,12221665
4/1/21,12303131
4/2/21,12392260
4/3/21,12485509
4/4/21,12589067
4/5/21,12686049
4/6/21,12801785
4/7/21,12928574
4/8/21,13060542
4/9/21,13205926
4/10/21,13358805
4/11/21,13527717
4/12/21,13689453
4/13/21,13873825
4/14/21,14074564
4/15/21,14291917
4/16/21,14526609
4/17/21,14788003
4/18/21,15061805
4/19/21,15320972
4/20/21,15616130
4/21/21,15930774
4/22/21,16263695
4/23/21,16610481
4/24/21,16960172
4/25/21,17313163
4/26/21,17636186
4/27/21,17997113
4/28/21,18376421
4/29/21,18762976
4/30/21,19164969
5/1/21,19557457
5/2/21,19925517
5/3/21,20282833
5/4/21,20664979
5/5/21,21077410
5/6/21,21491598
5/7/21,21892676
5/8/21,22296081
5/9/21,22662575
5/10/21,22992517
5/11/21,23340938
5/12/21,23703665
5/13/21,24046809
5/14/21,24372907
5/15/21,24684077
5/16/21,24965463
5/17/21,25228996
5/18/21,25496330
5/19/21,25772440
5/20/21,26031991
5/21/21,26289290
5/22/21,26530132
5/23/21,26752447
5/24/21,26948874
5/25/21,27157795
5/26/21,27369093
5/27/21,27555457
5/28/21,27729247
5/29/21,27894800
5/30/21,28047534
5/31/21,28175044
6/1/21,28307832
6/2/21,28441986
6/3/21,28574350
6/4/21,28694879
6/5/21,28809339
6/6/21,28909975
6/7/21,28996473
6/8/21,29089069
6/9/21,29182532
6/10/21,29274823
6/11/21,29359155
6/12/21,29439989
6/13/21,29510410
6/14/21,29570881
6/15/21,29633105
6/16/21,29700313
6/17/21,29762793
6/18/21,29823546
6/19/21,29881772
6/20/21,29935221
6/21/21,29977861
6/22/21,30028709
6/23/21,30082778
6/24/21,30134445
6/25/21,30183143
6/26/21,30233183
6/27/21,30279331
6/28/21,30316897
6/29/21,30362848
6/30/21,30411634
7/1/21,30458251
7/2/21,30502362
7/3/21,30545433
7/4/21,30585229
7/5/21,30619932
7/6/21,30663665
7/7/21,30709557
7/8/21,30752950
7/9/21,30795716
7/10/21,30837222
7/11/21,30874376
7/12/21,30907282
7/13/21,30946147
7/14/21,30987880
7/15/21,31026829
7/16/21,31064908
7/17/21,31106065
7/18/21,31144229
7/19/21,31174322
7/20/21,31216337
7/21/21,31257720
7/22/21,31293062
7/23/21,31293062
7/24/21,31371901
7/25/21,31411262
7/26/21,31440951
7/27/21,31484605
7/28/21,31528114
7/29/21,31572344
7/30/21,31613993
7/31/21,31655824
8/1/21,31695958
8/2/21,31726507
8/3/21,31769132
8/4/21,31812114
8/5/21,31856757
8/6/21,31895385
8/7/21,31934455
8/8/21,31969954
8/9/21,31998158
8/10/21,32036511
8/11/21,32077706
8/12/21,32117826
8/13/21,32156493
8/14/21,32192576
8/15/21,32225513
8/16/21,32250679
8/17/21,32285857
8/18/21,32322258
8/19/21,32358829
8/20/21,32393286
8/21/21,32424234
8/22/21,32449306
8/23/21,32474773
8/24/21,32512366
8/25/21,32558530
8/26/21,32603188
8/27/21,32649947
8/28/21,32695030
8/29/21,32737939
8/30/21,32768880
8/31/21,32810845
9/1/21,32857937
9/2/21,32903289
9/3/21,32945907
9/4/21,32988673
9/5/21,33027621
9/6/21,33058843
9/7/21,33096718
9/8/21,33139981
9/9/21,33174954
9/10/21,33208330
9/11/21,33236921
9/12/21,33264175
9/13/21,33289579
9/14/21,33316755
9/15/21,33347325
9/16/21,33381728
9/17/21,33417390
9/18/21,33448163
9/19/21,33478419
9/20/21,33504534
9/21/21,33531498
9/22/21,33563421
9/23/21,33594803
9/24/21,33624419
9/25/21,33652745
9/26/21,33678786